,avgPrecision
321,0.10250184753628983
336,0.3998381158426224
341,0.2990231567696727
347,0.051236777956041826
350,0.005507157102988799
362,0.05216662544126633
363,0.18935736635471623
367,0.09297658317580182
375,0.4135125378020188
378,0.08296481631151263
393,0.003944731435533551
397,0.13789526296272733
400,0.07401826037095909
408,0.06777390948105988
414,0.0830685723809428
422,0.25408196232269764
426,0.08331520563689461
427,0.02551953808676818
433,0.0744626547126969
439,0.021201946569827896
442,0.02080737598033804
445,0.13458509260310927
626,0.2212389096294246
646,0.05311411858072125
690,0.013278296545158889
801,0.0975109341982407
802,0.5882386953994042
803,0.1774265368429199
804,0.13313812185101623
805,0.07186419738999063
806,0.41729922692551125
807,0.6738949515914219
808,0.09899049920752971
809,0.4283344165689275
810,0.0250824163724772
811,0.3576188753568524
812,0.13883778635149815
813,0.1354711545410532
814,0.38600414274494677
815,0.28651347928584164
816,0.13696137132965902
817,0.3187948546566683
818,0.41270903357578065
819,0.0665805506646073
820,0.060834934393368505
821,0.17982624070338232
822,0.2024260593185376
823,0.3082053630164913
824,0.33062911262933364
825,0.3077382180381397
Mean Avg Precision,0.1859664398909078
